Holiday_Date,Holiday_Description,state
2016-11-24,Thanksgiving,WI
2016-12-25,Christmas Day,WI
2016-12-26,Christmas Day (Observed),WI
2010-12-31,New Year's Day (Observed),WI
2011-01-01,New Year's Day,WI
2011-01-17,"Martin Luther King, Jr. Day",WI
2011-02-21,Washington's Birthday,WI
2011-05-30,Memorial Day,WI
2011-07-04,Independence Day,WI
2011-09-05,Labor Day,WI
2011-10-10,Columbus Day,WI
2011-11-11,Veterans Day,WI
2011-11-24,Thanksgiving,WI
2011-12-25,Christmas Day,WI
2011-12-26,Christmas Day (Observed),WI
2012-01-01,New Year's Day,WI
2012-01-02,New Year's Day (Observed),WI
2012-01-16,"Martin Luther King, Jr. Day",WI
2012-02-20,Washington's Birthday,WI
2012-05-28,Memorial Day,WI
2012-07-04,Independence Day,WI
2012-09-03,Labor Day,WI
2012-10-08,Columbus Day,WI
2012-11-11,Veterans Day,WI
2012-11-12,Veterans Day (Observed),WI
2012-11-22,Thanksgiving,WI
2012-12-25,Christmas Day,WI
2013-01-01,New Year's Day,WI
2013-01-21,"Martin Luther King, Jr. Day",WI
2013-02-18,Washington's Birthday,WI
2013-05-27,Memorial Day,WI
2013-07-04,Independence Day,WI
2013-09-02,Labor Day,WI
2013-10-14,Columbus Day,WI
2013-11-11,Veterans Day,WI
2013-11-28,Thanksgiving,WI
2013-12-25,Christmas Day,WI
2014-01-01,New Year's Day,WI
2014-01-20,"Martin Luther King, Jr. Day",WI
2014-02-17,Washington's Birthday,WI
2014-05-26,Memorial Day,WI
2014-07-04,Independence Day,WI
2014-09-01,Labor Day,WI
2014-10-13,Columbus Day,WI
2014-11-11,Veterans Day,WI
2014-11-27,Thanksgiving,WI
2014-12-25,Christmas Day,WI
2015-01-01,New Year's Day,WI
2015-01-19,"Martin Luther King, Jr. Day",WI
2015-02-16,Washington's Birthday,WI
2015-05-25,Memorial Day,WI
2015-07-03,Independence Day (Observed),WI
2015-07-04,Independence Day,WI
2015-09-07,Labor Day,WI
2015-10-12,Columbus Day,WI
2015-11-11,Veterans Day,WI
2015-11-26,Thanksgiving,WI
2015-12-25,Christmas Day,WI
2016-01-01,New Year's Day,WI
2016-01-18,"Martin Luther King, Jr. Day",WI
2016-02-15,Washington's Birthday,WI
2016-05-30,Memorial Day,WI
2016-07-04,Independence Day,WI
2016-09-05,Labor Day,WI
2016-10-10,Columbus Day,WI
2016-11-11,Veterans Day,WI
2016-11-24,Thanksgiving,WI
2016-12-25,Christmas Day,WI
2016-12-26,Christmas Day (Observed),WI
